name,year
"Toyama, Kentaro",2022
"Dey, Anind",2021
"Pevzner, Pavel",2010
"Sandhu, Ravinderpal S",2001
"Ferrante, Jeanne",1996
"Dean, Jeffrey A",2009
"Want, Roy",2005
"Adleman, Leonard M.",2021
"Adrion, William Richards",1996
"Clarke, Edmund",1998
"Zanella, Paolo",1997
"Cormode, Graham R.",2020
"Funkhouser, Thomas",2018
"Sinclair, Alistair",2012
"Nikolaj, Bjorner",2021
"Dwork, Cynthia",2015
"Chi, Ed H.",2022
"Kay, Alan",2008
"Heiser, Gernot",2014
"Lui, John Chi-Shing",2009
"Laird, John E.",2006
"Lawson, H W",1997
"Jiang, Tao",2007
"Pass, Rafael",2022
"Erickson, Thomas D",2009
"Sarkar, Vivek",2008
"Grosz, Barbara J",2003
"Kozyrakis, Christos",2016
"Forbus, Kenneth",2006
"Shim, Kyuseok",2013
"Esteves-Verissimo, Paulo",2009
"Wong, Chak-Kuen",1995
"Ungar, David M",2010
"Keromytis, Angelos Dennis",2017
"Hermenegildo, Manuel V",2022
"Rosenfeld, Azriel",1994
"Abadi, Martin",2008
"Chen, Peter",2010
"Perrott, Ron",1997
"Singh, Munindar P.",2021
"Feamster, Nick",2016
"Youssef, Moustafa A",2019
"Sangiovanni Vincentelli, Alberto Luigi",2014
"Hearn, Anthony C",2006
"Liu, Tie-Yan",2021
"Bochmann, Gregor V",1996
"Rabin, Michael O.",2020
"Sudarshan, S.",2014
"Camp, Tracy",2012
"Dehon, Andre M",2018
"Parhi, Keshab K.",2020
"Hanson, Vicki",2004
"Hellerstein, Joseph M",2009
"Yang, Ming-Hsuan",2021
"Basili, Victor",1997
"Yonezawa, Akinori",1999
"Smith, Burton",1994
"Foley, James D",1999
"Anderson, James H",2013
"Fateman, Richard J",1999
"Pausch, Randy",2007
"Owicki, Susan S",1994
"Rosenschein, Jeffrey S",2019
"Chen, Ming-Syan",2006
"Cousot, Patrick",2020
"Marculescu, Diana",2019
"Arpaci-Dusseau, Remzi",2020
"Guttag, John",2006
"Jordan, Michael  I.",2010
"Kolaitis, Phokion",2005
"Govindan, Ramesh",2011
"Mei, Hong",2022
"Kennedy, Kenneth W",1995
"Hendren, Laurie J",2009
"Sherwood, Tim",2022
